lcsc,Assembly Type,Assembly Type Batch,Assembly Process,Min Order Qty,Attrition Qty,Special Component Fee,Component Library Type,Describe
13167,smtWeld,smtWeld,SMT,20,10,0.0,base,
13320,smtWeld,smtWeld,SMT,20,10,0.0,expand,
13415,smtWeld,smtWeld,SMT,20,6,0.0,expand,
13482,smtWeld,smtWeld,SMT,5,0,0.0,base,
13533,smtWeld,smtWeld,SMT,20,10,0.0,expand,
13585,smtWeld,smtWeld,SMT,5,4,0.0,base,
13738,smtWeld,smtWeld,SMT,5,4,0.0,base,
13967,smtWeld,smtWeld,SMT,20,10,0.0,base,
14033,smtWeld,smtWeld,SMT,20,10,0.0,expand,
14289,smtWeld,smtWeld,SMT,5,2,0.0,base,
14441,smtWeld,smtWeld,SMT,20,12,0.0,expand,
14663,smtWeld,smtWeld,SMT,20,10,0.0,base,
14857,smtWeld,smtWeld,SMT,20,10,0.0,base,
14858,smtWeld,smtWeld,SMT,20,10,0.0,base,
14877,smtWeld,smtWeld,SMT,1,0,0.0,expand,
14996,smtWeld,smtWeld,SMT,5,8,0.0,base,
15008,smtWeld,smtWeld,SMT,5,4,0.0,base,
15127,smtWeld,smtWeld,SMT,5,4,0.0,base,
15195,smtWeld,smtWeld,SMT,20,10,0.0,base,10nF 50V X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
15525,smtWeld,smtWeld,SMT,20,10,0.0,base,
15849,smtWeld,smtWeld,SMT,20,10,0.0,base,
15850,smtWeld,smtWeld,SMT,20,10,0.0,base,10uF 25V X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
15879,smtWeld,smtWeld,SMT,5,2,0.0,expand,
16106,smtWeld,smtWeld,SMT,5,2,0.0,expand,
16133,smtWeld,smtWeld,SMT,5,2,0.0,base,
16581,smtWeld,smtWeld,SMT,1,0,0.0,expand,
16772,smtWeld,smtWeld,SMT,20,10,0.0,base,
16780,smtWeld,smtWeld,SMT,5,6,0.0,base,47uF 6.3V X5R ±20% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
17168,smtWeld,smtWeld,SMT,20,10,0.0,base,
17379,smtWeld,smtWeld,SMT,20,10,0.0,base,
17398,smtWeld,smtWeld,SMT,20,10,0.0,expand,
17408,smtWeld,smtWeld,SMT,20,10,0.0,base,
17414,smtWeld,smtWeld,SMT,20,10,0.0,base,
17415,smtWeld,smtWeld,SMT,20,6,0.0,base,
17429,smtWeld,smtWeld,SMT,20,10,0.0,expand,
17436,smtWeld,smtWeld,SMT,20,10,0.0,expand,
17437,smtWeld,smtWeld,SMT,20,10,0.0,base,
17444,smtWeld,smtWeld,SMT,20,10,0.0,base,
17455,smtWeld,smtWeld,SMT,20,10,0.0,expand,
17470,smtWeld,smtWeld,SMT,20,10,0.0,base,
17471,smtWeld,smtWeld,SMT,20,10,0.0,base,
17475,smtWeld,smtWeld,SMT,20,6,0.0,base,-55℃~+155℃ 125mW 150V 15kΩ Thick Film Resistor ±1% ±100ppm/℃ 0805 Chip Resistor - Surface Mount ROHS
17477,smtWeld,smtWeld,SMT,20,10,0.0,base,
17480,smtWeld,smtWeld,SMT,20,10,0.0,expand,
17490,smtWeld,smtWeld,SMT,20,10,0.0,expand,
17501,smtWeld,smtWeld,SMT,20,10,0.0,expand,
17506,smtWeld,smtWeld,SMT,20,10,0.0,expand,
17513,smtWeld,smtWeld,SMT,20,10,0.0,base,
17514,smtWeld,smtWeld,SMT,20,6,0.0,base,-55℃~+155℃ 125mW 150V 1MΩ Thick Film Resistor ±1% ±100ppm/℃ 0805 Chip Resistor - Surface Mount ROHS
17520,smtWeld,smtWeld,SMT,20,10,0.0,base,
17521,smtWeld,smtWeld,SMT,20,10,0.0,base,
17526,smtWeld,smtWeld,SMT,20,10,0.0,base,-55℃~+155℃ 125mW 150V 2.4kΩ Thick Film Resistor ±1% ±100ppm/℃ 0805 Chip Resistor - Surface Mount ROHS
17530,smtWeld,smtWeld,SMT,20,10,0.0,base,
17539,smtWeld,smtWeld,SMT,20,10,0.0,base,
17540,smtWeld,smtWeld,SMT,20,10,0.0,base,
17544,smtWeld,smtWeld,SMT,20,10,0.0,base,
17556,smtWeld,smtWeld,SMT,20,10,0.0,base,
17557,smtWeld,smtWeld,SMT,20,10,0.0,base,
17560,smtWeld,smtWeld,SMT,20,10,0.0,base,
17561,smtWeld,smtWeld,SMT,20,10,0.0,base,
17572,smtWeld,smtWeld,SMT,20,10,0.0,expand,
17575,smtWeld,smtWeld,SMT,20,10,0.0,base,
17589,smtWeld,smtWeld,SMT,20,10,0.0,expand,-55℃~+155℃ 125mW 150V 270kΩ Thick Film Resistor ±1% ±100ppm/℃ 0805 Chip Resistor - Surface Mount ROHS
17590,smtWeld,smtWeld,SMT,20,10,0.0,expand,
17593,smtWeld,smtWeld,SMT,20,10,0.0,base,-55℃~+155℃ 125mW 150V 27kΩ Thick Film Resistor ±1% ±100ppm/℃ 0805 Chip Resistor - Surface Mount ROHS
17594,smtWeld,smtWeld,SMT,20,10,0.0,expand,
17604,smtWeld,smtWeld,SMT,20,10,0.0,base,
17606,smtWeld,smtWeld,SMT,20,12,0.0,expand,
17614,smtWeld,smtWeld,SMT,20,10,0.0,base,
17616,smtWeld,smtWeld,SMT,20,10,0.0,expand,
17617,smtWeld,smtWeld,SMT,20,10,0.0,base,
17621,smtWeld,smtWeld,SMT,20,10,0.0,base,
17629,smtWeld,smtWeld,SMT,20,10,0.0,expand,
17630,smtWeld,smtWeld,SMT,20,10,0.0,base,
17633,smtWeld,smtWeld,SMT,20,10,0.0,base,
17634,smtWeld,smtWeld,SMT,20,10,0.0,base,
17655,smtWeld,smtWeld,SMT,20,10,0.0,base,
17656,smtWeld,smtWeld,SMT,20,10,0.0,expand,
17661,smtWeld,smtWeld,SMT,20,6,0.0,base,
17667,smtWeld,smtWeld,SMT,20,10,0.0,expand,
17673,smtWeld,smtWeld,SMT,20,6,0.0,base,
17675,smtWeld,smtWeld,SMT,20,10,0.0,base,
17677,smtWeld,smtWeld,SMT,20,10,0.0,expand,
17695,smtWeld,smtWeld,SMT,20,10,0.0,expand,
17709,smtWeld,smtWeld,SMT,20,10,0.0,base,
17710,smtWeld,smtWeld,SMT,20,10,0.0,base,-55℃~+155℃ 125mW 150V 470Ω Thick Film Resistor ±1% ±100ppm/℃ 0805 Chip Resistor - Surface Mount ROHS
17713,smtWeld,smtWeld,SMT,20,10,0.0,base,
17714,smtWeld,smtWeld,SMT,20,10,0.0,base,
17719,smtWeld,smtWeld,SMT,20,10,0.0,expand,
17720,smtWeld,smtWeld,SMT,20,10,0.0,base,
17724,smtWeld,smtWeld,SMT,20,10,0.0,base,
17733,smtWeld,smtWeld,SMT,20,10,0.0,expand,
17734,smtWeld,smtWeld,SMT,20,10,0.0,base,
17737,smtWeld,smtWeld,SMT,20,10,0.0,base,
17738,smtWeld,smtWeld,SMT,20,10,0.0,base,
17756,smtWeld,smtWeld,SMT,20,10,0.0,expand,
17757,smtWeld,smtWeld,SMT,20,10,0.0,expand,
17767,smtWeld,smtWeld,SMT,20,10,0.0,expand,
17772,smtWeld,smtWeld,SMT,20,10,0.0,base,
17783,smtWeld,smtWeld,SMT,20,10,0.0,expand,
17797,smtWeld,smtWeld,SMT,20,10,0.0,expand,
17798,smtWeld,smtWeld,SMT,20,10,0.0,base,
17801,smtWeld,smtWeld,SMT,20,10,0.0,base,
17802,smtWeld,smtWeld,SMT,20,10,0.0,expand,
